OriginalOrder,BuildingID,Use,BuildingName,Occupancy,LandscapeArea,ConditionedArea,RooftopArea,EnergyBase,OldEnergyBase,JobsBase,OpCostEnergyBase,OpCostWaterBase,ExpenditureFoodBase,OpCostBase,FoodPercentageBase,WaterBase,CO2EnergyBase,CO2WaterBase,CO2FoodBase,CO2EmissionsBase,EnergyHighPerformance,JobsHighPerformance,OpCostEnergyHP,OpCostWaterHP,OpCostFoodHP,OpCostHP,InvestmentCostHP,WaterHighPerformance,CO2EnergyHP,CO2WaterHP,CO2FoodHP,CO2EmissionsHighPerformance,EnergyWaterEfficient,JobsWaterEfficient,OpCostEnergyWaterEfficient,OpCostWaterWaterEfficient,OpCostFoodWaterEfficient,OpCostWaterEfficient,InvestmentCostWaterEfficient,WaterWaterEfficient,CO2EnergyWaterEfficient,CO2WaterWaterEfficient,CO2FoodWaterEfficient,CO2EmissionsWaterEfficient,EnergyGreenery,JobsGreenery,OpCostEnergyGreenery,OpCostWaterGreenery,OpCostFoodGreenery,OpCostGreenery,InvestmentCostGreenery,WaterGreenery,CO2EnergyGreenery,CO2WaterGreenery,CO2FoodGreenery,CO2EmissionsGreenery,EnergyPVPanels,JobsPVPanels,OpCostEnergyPVPanels,OpCostWaterPVPanels,OpCostFoodPVPanels,OpCostPVPanels,InvestmentCostPVPanels,CO2EnergyPV,CO2WaterPV,CO2FoodPV,CO2EmissionsPVPanels,EnergyGreenhouse,JobsGreenhouse,OpCostEnergyGreenhouse,OpCostWaterGreenhouse,OpCostFoodGreenhouse,OpCostGreenhouse,InvestmentCostGreenhouse,FoodPercentageGreenhouse100,WaterGreenhouse100,CO2EnergyGreenhouse,CO2WaterGreenhouse,CO2FoodGreenhouse,CO2EmissionsGreenhouse
402,01dc4426-9d99-482e-b9f7-7ed91e6400dc,Residential,R1915_1_1,31,0,627.71057,627.71057,90035.46,90035.46,0,16206.3828,3291.74,9183.98,28682.10966,0,479671.3092,68156.84322,14052.40,11619.23,93828.47993,-36292.01,0.0501083055,-6532.5618,0,0,-6532.5618,110289.3301,0,-27473.05157,0,0,-27473.05157,-8065.80526,0,-1451.844947,-1430.273607,0,-2882.118554,918.0267086,-208418.7406,-6105.814581,0,0,-6105.814581,0,0,0,0,0,0,0,0,0,0,0,0,-121461.9953,0.062771057,-21863.15915,0,0,-21863.15915,12358051.85,-91946.73044,0,0,-91946.73044,87565.62452,0.2118523174,14119.95695,5614.254303,0,169043.8406,453363.9592,0.12501730137,899666.1745,66287.17776,0,-59412.80545,6874.372307
403,01e41efb-9b3b-4995-97c3-2c20cbb09440,Residential,R1237_1_1,6,82.75131676,121.9165,121.9165,21470.54549,21282.7,0,3864.698188,2402.57,1777.55,8044.809644,0,350100.7586,16253.20294,2729.31,2248.88,21231.40174,-10531.07,0.02208316101,-1895.5926,0,0,-1895.5926,27160.78876,0,-7972.01999,0,0,-7972.01999,-1566.573504,0,-281.9832307,-277.7935573,0,-559.776788,178.3028813,-40479.9355,-1185.896142,0,0,-1185.896142,-52.59673693,0,-8.48122383,-458.4399242,0,-466.9211481,3641.057937,-66803.63195,-6.42028644,0,0,-6.42028644,-23590.84275,0.01219165,-4246.351695,0,0,-4246.351695,2400231.094,-17858.26796,0,0,-17858.26796,17007.35175,0.04114681875,2742.43547,1090.423306,0,32832.38227,88054.19213,0.02428136876,174736.8236,12874.56527,0,-11539.39673,1335.16855
404,01edbb79-d807-4cb7-9522-c35ef335af2e,Residential,R1522_1_1,16,145.41267,323.64807,323.64807,51538.01676,51207.93,0,9276.843017,4795.62,4740.12,18812.58144,0,698815.0706,39014.27869,7245.43,5997.02,52256.73272,-20889.15,0.03598044302,-3760.047,0,0,-3760.047,61579.83235,0,-15813.08655,0,0,-15813.08655,-4158.735618,0,-748.5724112,-737.4502113,0,-1486.022623,473.3353024,-107460.8687,-3148.162863,0,0,-3148.162863,-92.42429305,0,-14.90341725,-805.5820261,0,-820.4854433,6398.15748,-117389.002,-11.28188686,0,0,-11.28188686,-62625.90155,0.032364807,-11272.66228,0,0,-11272.66228,6371821.378,-47407.80747,0,0,-47407.80747,45148.90577,0.1092312236,7280.261055,2894.713992,0,87159.13888,233754.8186,0.06445902019,463868.5963,34177.72166,0,-30633.28983,3544.431839
405,01f503a0-3b0f-47c5-a7b7-d5a3291d874f,Residential,R940_1_1,88,207.1930957,1760.94432,220.11804,305597.1283,305126.8,0,55007.4831,13649.26,26070.66,94727.40354,0,1988963.27,231337.0261,39421.83,32983.63,303742.4871,-134633.9,0.2373820091,-24234.102,0,0,-24234.102,218573.0628,0,-101917.8623,0,0,-101917.8623,-22627.36146,0,-4072.925062,-4012.410026,0,-8085.335088,2575.381068,-584686.3426,-17128.91262,0,0,-17128.91262,-131.6919316,0,-21.23532397,-1147.843815,0,-1169.079139,9116.496211,-167263.2152,-16.07514025,0,0,-16.07514025,-42592.84074,0.022011804,-7666.711333,0,0,-7666.711333,4333573.913,-32242.78044,0,0,-32242.78044,30706.46658,0.0742898385,4951.417736,1968.739595,0,59278.27353,158980.2544,0.04383957298,315484.1808,23244.7952,0,-20834.17249,2410.622715
406,021ede2d-0fb7-41b9-991c-9465bed0d257,Residential,R140_1_1,10,293.075175,211.578,211.578,34090.83065,33425.55,0,6136.349517,7354.25,2962.58,16453.17306,0,1071657.348,25806.7588,4736.54,3748.14,34291.44364,-15132.82,0.02909144204,-2723.9076,0,0,-2723.9076,42845.08873,0,-11455.54474,0,0,-11455.54474,-2718.684417,0,-489.3631951,-482.0922949,0,-971.45549,309.432825,-70250.24334,-2058.044104,0,0,-2058.044104,-186.2785812,0,-30.03742122,-1623.628074,0,-1653.665495,12895.3077,-236594.2548,-22.73832787,0,0,-22.73832787,-40940.343,0.0211578,-7369.26174,0,0,-7369.26174,4165441.875,-30991.83965,0,0,-30991.83965,29515.131,0.071407575,4759.314874,1892.357328,0,56978.42192,152812.2105,0.04213870509,303244.1685,22342.95417,0,-20025.8577,2317.096467
407,0250870e-a3fe-4000-94de-78deaeab9fee,Residential,R1032_1_1,40,231.8390175,814.58082,407.29041,129877.2746,129351,0,23377.90942,9211.63,11850.30,44439.83925,0,1342314,98317.09685,18235.82,14992.56,131545.478,-58979.46,0.08072574905,-10616.3028,0,0,-10616.3028,114517.8886,0,-44647.45122,0,0,-44647.45122,-10467.00594,0,-1884.061068,-1856.067913,0,-3740.128982,1191.324449,-270465.2697,-7923.523494,0,0,-7923.523494,-147.3568795,0,-23.76129682,-1284.381515,0,-1308.142812,10200.91677,-187159.4194,-17.9873017,0,0,-17.9873017,-78810.69434,0.040729041,-14185.92498,0,0,-14185.92498,8018529.947,-59659.69561,0,0,-59659.69561,56817.0122,0.1374605134,9161.743216,3642.812542,0,109684.2055,294165.4986,0.08111755699,583748.9801,43010.47823,0,-38550.03731,4460.440925
408,0287289c-e376-4e77-b6d2-b8e366bc49ef,Residential,R506_1_1,152,311.31813,3049.14987,338.79443,483048.7922,482342.1,0,86948.78259,22623.32,45031.14,154603.2475,0,3296659.366,365667.9357,68260.57,56971.73,490900.2346,-195553.8,0.331314647,-35199.684,0,0,-35199.684,337685.5585,0,-148034.2266,0,0,-148034.2266,-39180.23725,0,-7052.442705,-6947.65835,0,-14000.10106,4459.381685,-1012409.231,-29659.4396,0,0,-29659.4396,-197.8738034,0,-31.9071508,-1724.693522,0,-1756.600673,13697.99772,-251321.4604,-24.15371316,0,0,-24.15371316,-65556.72221,0.033879443,-11800.21,0,0,-11800.21,6670015.341,-49626.43871,0,0,-49626.43871,47261.82299,0.1143431201,7620.968956,3030.1833,0,91238.08703,244694.2771,0.06747562871,485577.1168,35777.2,0,-32066.8928,3710.3072
409,02ad695b-d251-41d0-b668-4f74b3ff12ae,Residential,R1895_1_1,10,340.54353,200.0238,200.0238,35052.27381,34279.24,0,6309.409286,8305.09,2962.58,17577.07793,0,1210214.01,26534.57128,4477.88,3748.14,34760.59507,-16030.44,0.02828595411,-2885.4792,0,0,-2885.4792,40869.30981,0,-12135.04308,0,0,-12135.04308,-2570.21802,0,-462.6392435,-455.7654046,0,-918.4046481,292.5348075,-66413.90231,-1945.655041,0,0,-1945.655041,-216.4494677,0,-34.90247666,-1886.6014,0,-1921.503877,14983.91532,-274914.5939,-26.42117483,0,0,-26.42117483,-38704.6053,0.02000238,-6966.828954,0,0,-6966.828954,3937968.563,-29299.38621,0,0,-29299.38621,27903.3201,0.0675080325,4499.410366,1789.016361,0,53866.85039,144467.1896,0.03983752526,286684.1114,21122.81332,0,-18932.25267,2190.560646
410,02b3e90e-91b8-4833-b541-b777c1c01d91,Residential,R1127_1_1,10,342.611505,200.71423,200.71423,35394.72812,34617,0,6371.051061,8352.78,2962.58,17686.4039,0,1217162.526,26793.80918,4493.34,3748.14,35035.28946,-16213.56,0.02833472993,-2918.4408,0,0,-2918.4408,40987.67293,0,-12273.66492,0,0,-12273.66492,-2579.089742,0,-464.2361536,-457.338588,0,-921.5747415,293.5445614,-66643.14579,-1952.370935,0,0,-1952.370935,-217.7638726,0,-35.11442445,-1898.057923,0,-1933.172347,15074.90622,-276584.0325,-26.58161931,0,0,-26.58161931,-38838.20351,0.020071423,-6990.876631,0,0,-6990.876631,3951561.403,-29400.52005,0,0,-29400.52005,27999.63509,0.06774105263,4514.941157,1795.191579,0,54052.78471,144965.8526,0.03997503401,287673.6701,21195.72376,0,-18997.60187,2198.12189
411,02f02acd-5d30-4848-bfbc-49be7eb84638,Residential,R769_1_1,66,35.2400625,1335.78834,667.89417,191531.9949,191452,0,34475.75909,7755.82,19553.00,61784.57279,0,1130173.945,144989.7202,29903.97,24737.72,199631.4104,-77471.3,0.1033745942,-13944.834,0,0,-13944.834,174312.9199,0,-58645.7741,0,0,-58645.7741,-17164.29376,0,-3089.572876,-3043.66837,0,-6133.241246,1953.590447,-443521.8025,-12993.37037,0,0,-12993.37037,-22.39858373,0,-3.611771626,-195.2289367,0,-198.8407083,1550.56275,-28448.66109,-2.734111121,0,0,-2.734111121,-129237.5219,0.066789417,-23262.75394,0,0,-23262.75394,13149166.47,-97832.80407,0,0,-97832.80407,93171.23672,0.2254142824,15023.86192,5973.657124,0,179865.3727,482386.5643,0.13302042490,957259.3192,70530.62619,0,-63216.18319,7314.443003
412,0314a59a-267d-417d-90a7-a85effcc94c3,Residential,R1455_1_1,5,2.031610642,109.01196,54.50598,19675.81176,19671.2,0,3541.646116,614.95,1481.29,5637.886278,0,89610.58818,14894.5895,2440.42,1874.07,19209.08353,-9768.167,0.02953126614,-1758.27006,0,0,-1758.27006,24029.10604,0,-7394.502419,0,0,-7394.502419,-1400.75583,0,-252.1360494,-248.3898419,0,-500.5258913,159.4299915,-36195.24108,-1060.372163,0,0,-1060.372163,-1.291291724,0,-0.2082207905,-11.25506476,0,-11.46328555,89.39086825,-1640.082296,-0.1576231384,0,0,-0.1576231384,-10546.90713,0.005450598,-1898.443283,0,0,-1898.443283,1073086.481,-7984.008697,0,0,-7984.008697,7603.58421,0.01839576825,1226.077954,487.5024373,0,14678.5806,39366.94406,0.01085562495,78120.69584,5755.913247,0,-5158.991007,596.92224
413,031705b2-02bc-4941-8379-48827d835d0d,Residential,R2021_1_1,16,213.254205,327.12244,327.12244,50653.50705,50169.42,0,9117.631268,6259.38,4740.12,20117.12853,0,912113.2625,38344.70483,7323.21,5997.02,51664.93873,-21808.1,0.03617305295,-3925.458,0,0,-3925.458,62150.90097,0,-16508.7317,0,0,-16508.7317,-4203.379747,0,-756.6083545,-745.3667575,0,-1501.975112,478.4165685,-108614.4638,-3181.958469,0,0,-3181.958469,-135.5443727,0,-21.8565301,-1181.422187,0,-1203.278717,9383.18502,-172156.2385,-16.54539328,0,0,-16.54539328,-63298.19214,0.032712244,-11393.67459,0,0,-11393.67459,6440223.037,-47916.73145,0,0,-47916.73145,45633.58038,0.1104038235,7358.414836,2925.788818,0,88094.79439,236264.1823,0.06515098936,468848.2371,34544.62035,0,-30962.13895,3582.481402
414,035171b8-0887-4a3c-928e-10073f35b752,Residential,R1553_1_1,1,297.7633275,20.49316,20.49316,4542.140753,3866.218,0,817.5853356,6452.08,296.26,7565.926505,0,940194.3416,3438.40055,458.78,374.81,4271.989901,-1929.858,0.009053874309,-347.37444,0,0,-347.37444,7048.079685,0,-1460.902506,0,0,-1460.902506,-263.3281095,0,-47.39905971,-46.69481012,0,-94.09386983,29.9712465,-6804.343915,-199.3393789,0,0,-199.3393789,-189.258371,0,-30.51791232,-1649.600304,0,-1680.118216,13101.58641,-240378.915,-23.10205962,0,0,-23.10205962,-3965.42646,0.002049316,-713.7767628,0,0,-713.7767628,403459.0875,-3001.82783,0,0,-3001.82783,2858.79582,0.0069164415,460.980826,183.291181,0,5518.853175,14801.18481,0.00408149820,29371.82157,2164.108436,0,-1939.677594,224.4308417
415,03dd0df8-8e3c-47a2-ad8e-ba8c7219e44e,Residential,R469_1_1,24,194.7527475,485.55078,485.55078,74658.01874,74215.93,0,13438.44337,6695.96,7110.18,27244.58513,0,975732.1323,56516.12018,10869.91,8995.54,76381.56251,-29070.63,0.04407043363,-5232.7134,0,0,-5232.7134,87779.63661,0,-22006.46691,0,0,-22006.46691,-6239.114366,0,-1123.040586,-1106.354582,0,-2229.395168,710.1180158,-161217.4255,-4723.009575,0,0,-4723.009575,-123.7848463,0,-19.96030647,-1078.924642,0,-1098.884948,8569.12089,-157220.3486,-15.109952,0,0,-15.109952,-93954.07593,0.048555078,-16911.73367,0,0,-16911.73367,9559280.981,-71123.23548,0,0,-71123.23548,67734.33381,0.1638733883,10922.16133,4342.774658,0,130759.8957,350689.0509,0.09670419951,695915.6554,51274.89069,0,-45957.38133,5317.509367
416,03f0df96-8335-4982-bed4-494d24e3b8d8,Residential,R268_1_1,28,37.321215,564.76819,564.76819,81989.85916,81905.14,0,14758.17465,3756.90,8295.21,26810.281,0,547453.0202,62066.32338,12643.33,10494.79,85204.44245,-33516.91,0.04752970398,-6033.0438,0,0,-6033.0438,100367.0013,0,-25372.30087,0,0,-25372.30087,-7257.023308,0,-1306.264195,-1286.855877,0,-2593.120073,825.9734779,-187519.9821,-5493.566644,0,0,-5493.566644,-23.72136425,0,-3.825069986,-206.7584619,0,-210.5835319,1642.13346,-30128.73762,-2.895577979,0,0,-2.895577979,-109282.6448,0.056476819,-19670.87606,0,0,-19670.87606,11118873.74,-82726.96209,0,0,-82726.96209,78785.16251,0.1906092641,12704.10745,5051.296557,0,152093.3189,407903.8252,0.11248144987,809454.0083,59640.36802,0,-53455.30918,6185.058833
417,045c32ef-a99c-4629-a547-466dc4dc0762,Residential,R1360_1_1,30,81.781215,615.88635,615.88635,87697.91336,87512.27,0,15785.6244,4972.30,8887.73,29645.64694,0,724560.6611,66387.32041,13787.70,11244.42,91419.4372,-34920.8,0.04963411528,-6285.744,0,0,-6285.744,108430.0925,0,-26435.0456,0,0,-26435.0456,-7913.869223,0,-1424.49646,-1403.331461,0,-2827.827921,900.7337869,-204492.7448,-5990.799002,0,0,-5990.799002,-51.98014025,0,-8.381797616,-453.0655883,0,-461.4473859,3598.37346,-66020.48645,-6.345020795,0,0,-6.345020795,-119174.0087,0.061588635,-21451.32157,0,0,-21451.32157,12125262.52,-90214.7246,0,0,-90214.7246,85916.14583,0.2078616431,13853.97851,5508.498273,0,165859.5521,444823.9163,0.12266234330,882719.1111,65038.52239,0,-58293.64303,6744.879362
418,045eaf28-fc3e-472c-8ea4-7c6e3a2d8e00,Residential,R955_1_1,15,273.8289225,306.02905,306.02905,50806.80165,50185.21,0,9145.224298,7439.46,4443.86,21028.55008,0,1084074.795,38460.74885,6851.00,5622.21,50933.9562,-22610.6,0.03498737201,-4069.908,0,0,-4069.908,58676.27884,0,-17116.2242,0,0,-17116.2242,-3932.338946,0,-707.8210102,-697.3042898,0,-1405.1253,447.5674856,-101610.8255,-2976.780582,0,0,-2976.780582,-174.0456631,0,-28.06486318,-1517.004386,0,-1545.069249,12048.47259,-221057.1054,-21.24510143,0,0,-21.24510143,-59216.62118,0.030602905,-10658.99181,0,0,-10658.99181,6024946.922,-44826.98223,0,0,-44826.98223,42691.05248,0.1032848044,6883.932212,2737.129169,0,82414.29795,221029.4814,0.06094994700,438616.1359,32317.12672,0,-28965.64958,3351.477141
419,0496df13-7642-482c-9ce3-90ab45e879b0,Residential,R1327_1_1,10,140.3820975,212.38159,212.38159,36217.10736,35898.44,0,6519.079325,4104.94,2962.58,13586.59665,0,598170.1018,27416.35027,4754.53,3748.14,35919.02488,-17157.98,0.02914663548,-3088.4364,0,0,-3088.4364,42982.11859,0,-12988.59086,0,0,-12988.59086,-2729.010196,0,-491.2218353,-483.9233196,0,-975.1451549,310.6080754,-70517.05933,-2065.860718,0,0,-2065.860718,-89.22686117,0,-14.38783136,-777.7127986,0,-792.1006299,6176.81229,-113327.9124,-10.89158834,0,0,-10.89158834,-41095.83767,0.021238159,-7397.25078,0,0,-7397.25078,4181262.553,-31109.54911,0,0,-31109.54911,29627.23181,0.07167878663,4777.391129,1899.544651,0,57194.83048,153392.6034,0.04229875123,304395.9139,22427.81448,0,-20101.91749,2325.896983
420,049e99f5-726b-40a3-b63b-4a7b486962f0,Residential,R1619_1_1,180,175.2665475,3604.0156,450.50195,565076.7551,564678.9,0,101713.8159,22634.14,53326.35,177674.3031,0,3298234.922,427763.1036,80682.21,67466.52,575911.8376,-228039.4,0.3396004994,-41047.092,0,0,-41047.092,379379.1472,0,-172625.8258,0,0,-172625.8258,-46310.0183,0,-8335.803293,-8211.950919,0,-16547.75421,5270.872815,-1196641.3,-35056.68385,0,0,-35056.68385,-111.3994176,0,-17.96315609,-970.9716522,0,-988.9348083,7711.72809,-141489.4939,-13.59810916,0,0,-13.59810916,-87172.12733,0.045050195,-15690.98292,0,0,-15690.98292,8869257.141,-65989.30039,0,0,-65989.30039,62845.02203,0.1520444081,10133.7598,4029.297311,0,121321.1685,325375.0334,0.08972373693,645681.9198,47573.68167,0,-42640.00957,4933.672105
421,04b58381-ead3-4590-8809-0638beb2a88d,Residential,R1328_1_1,3,45.83609586,66.45227,66.45227,12003.03794,11898.99,0,2160.546829,1325.14,888.77,4374.454599,0,193098.0358,9086.299719,1487.65,1124.44,11698.3924,-6044.688,0.01630365235,-1088.04384,0,0,-1088.04384,16787.36407,0,-4575.828816,0,0,-4575.828816,-853.882497,0,-153.6988495,-151.4152102,0,-305.1140597,97.18644488,-22064.14721,-646.3890502,0,0,-646.3890502,-29.13342253,0,-4.697764383,-253.930658,0,-258.6284224,2016.788218,-37002.64597,-3.556207638,0,0,-3.556207638,-12858.51425,0.006645227,-2314.532564,0,0,-2314.532564,1308279.066,-9733.895283,0,0,-9733.895283,9270.091665,0.02242764113,1494.802281,594.3502637,0,17895.74284,47995.15201,0.01323489497,95242.71598,7017.45939,0,-6289.707356,727.7520349
422,04c9ee82-1d97-42b6-8dc9-ab0cc5725d52,Residential,R885_1_1,14,0,296.21179,296.21179,53764.89,53764.89,0,9677.6802,1553.35,4147.61,15378.63404,0,226353.2014,40700.02173,6631.22,5247.40,52578.63848,-24637.79,0.03442160891,-4434.8022,0,0,-4434.8022,57052.65299,0,-18650.80703,0,0,-18650.80703,-3806.191465,0,-685.1144636,-674.9351143,0,-1360.049578,433.2097429,-98351.20063,-2881.286939,0,0,-2881.286939,0,0,0,0,0,0,0,0,0,0,0,0,-57316.98137,0.029621179,-10317.05665,0,0,-10317.05665,5831669.616,-43388.95489,0,0,-43388.95489,41321.54471,0.09997147913,6663.099084,2649.323424,0,79770.48818,213938.9653,0.05899470296,424545.548,31280.40934,0,-28036.44592,3243.963418
423,04cfb9f8-9aaf-4bb3-b3ed-38a08fc6c17c,Residential,R823_1_1,23,1016.652577,464.13684,464.13684,71764.59135,69456.79,0,12917.62644,24096.36,6813.92,43827.91309,0,3511309.894,54325.79565,10390.52,8620.72,73337.03535,-29705.7,0.04308767063,-5347.026,0,0,-5347.026,84354.88928,0,-22487.2149,0,0,-22487.2149,-5963.954638,0,-1073.511835,-1057.561724,0,-2131.073558,678.8001285,-154107.355,-4514.713661,0,0,-4514.713661,-646.1843779,0,-104.1972309,-5632.226152,0,-5736.423383,44732.71339,-820725.1223,-78.87730382,0,0,-78.87730382,-89810.47854,0.046413684,-16165.88614,0,0,-16165.88614,9137694.037,-67986.53225,0,0,-67986.53225,64747.08918,0.1566461835,10440.46813,4151.248005,0,124993.0744,335222.8327,0.09243931515,665224.1259,49013.54651,0,-43930.55191,5082.994603
424,04d376e5-a565-4c56-b7e2-aec5b7e61baa,Residential,R1480_1_1,11,331.65906,238.66541,238.66541,38710.87607,37958.01,0,6967.957692,8318.43,3258.83,18545.21572,0,1212156.725,29304.13318,5342.94,4122.95,38770.03123,-17343.53,0.03089759926,-3121.8354,0,0,-3121.8354,47438.85445,0,-13129.05221,0,0,-13129.05221,-3066.745744,0,-552.014234,-543.8124721,0,-1095.826706,349.0481621,-79244.07608,-2321.526528,0,0,-2321.526528,-210.8024985,0,-33.99190289,-1837.381691,0,-1871.373594,14592.99864,-267742.3229,-25.73187049,0,0,-25.73187049,-46181.75684,0.023866541,-8312.71623,0,0,-8312.71623,4698725.259,-34959.58992,0,0,-34959.58992,33293.8247,0.08054957588,5368.629232,2134.627596,0,64273.12116,172376.0924,0.04753354000,342067.1989,25203.42529,0,-22589.68106,2613.744238
425,05196c5b-6fdc-4786-9019-ce881e52d008,Residential,R1527_1_1,11,238.61739,229.96948,229.96948,36688.73148,36147.07,0,6603.971666,6290.33,3258.83,16153.13479,0,916623.7706,27773.36973,5148.27,4122.95,37044.59412,-16319.93,0.03032948928,-2937.5874,0,0,-2937.5874,45969.55674,0,-12354.18701,0,0,-12354.18701,-2955.006861,0,-531.9012351,-523.9983097,0,-1055.899545,336.3303645,-76356.76644,-2236.940194,0,0,-2236.940194,-151.6652131,0,-24.45601561,-1321.933505,0,-1346.38952,10499.16516,-192631.4761,-18.51320382,0,0,-18.51320382,-44499.09438,0.022996948,-8009.836988,0,0,-8009.836988,4527524.138,-33685.81445,0,0,-33685.81445,32080.74246,0.0776146995,5173.019722,2056.851046,0,61931.28804,166095.4569,0.04580162444,329603.7572,24285.12204,0,-21766.61128,2518.51076
426,052cdb66-20f9-4d86-9354-1bde27bb9067,Residential,R1105_1_1,13,336.78885,276.70923,276.70923,48367.58069,47603.07,0,8706.164524,8627.23,3851.35,21184.74459,0,1257155.929,36614.25858,6194.62,4872.58,47681.4623,-23308.93,0.03326915869,-4195.6074,0,0,-4195.6074,53813.96703,0,-17644.86001,0,0,-17644.86001,-3555.59213,0,-640.0065834,-630.4974417,0,-1270.504025,404.6872489,-91875.76564,-2691.583243,0,0,-2691.583243,-214.0629931,0,-34.51765763,-1865.800581,0,-1900.318238,14818.7094,-271883.509,-26.12986683,0,0,-26.12986683,-53543.23601,0.027670923,-9637.782481,0,0,-9637.782481,5447712.966,-40532.22966,0,0,-40532.22966,38600.93759,0.09338936513,6224.401186,2474.892187,0,74518.40577,199853.2414,0.05511049654,396593.5039,29220.90975,0,-26190.52862,3030.381132
427,0552f20d-cd6b-4b4e-b9ae-daff928c575b,Residential,R1643_1_1,1,568.65624,35.42773,35.42773,7648.352665,6357.503,0,1376.70348,12302.47,296.26,13975.43523,0,1792710.273,5789.802967,793.11,374.81,6957.728877,-3179.64,0.01190423958,-572.3352,0,0,-572.3352,10442.71821,0,-2406.98748,0,0,-2406.98748,-455.2307777,0,-81.94153999,-80.72406233,0,-162.6656023,51.81305513,-11763.06919,-344.6096987,0,0,-344.6096987,-361.4379061,0,-58.28186237,-3150.339279,0,-3208.621141,25020.87456,-459065.833,-44.11936981,0,0,-44.11936981,-6855.265755,0.003542773,-1233.947836,0,0,-1233.947836,697483.4344,-5189.436177,0,0,-5189.436177,4942.168335,0.01195685888,796.924644,316.866236,0,9540.765806,25587.67799,0.00705592579,50776.79402,3741.22143,0,-3353.234645,387.9867851
428,056fb83e-c47d-4b81-a14a-c83642a292d5,Residential,R1812_1_1,12,30.44338019,256.55273,256.55273,43005.77647,42936.67,0,7741.039765,1994.05,3555.09,13290.17942,0,290571.8986,32555.37279,5743.38,4497.77,42796.52389,-18431.1,0.032034527,-3317.598,0,0,-3317.598,50446.45065,0,-13952.3427,0,0,-13952.3427,-3296.589954,0,-593.3861917,-584.5697302,0,-1177.955922,375.2083676,-85183.20294,-2495.518595,0,0,-2495.518595,-19.34981245,0,-3.120157257,-168.6554541,0,-171.7756114,1339.508728,-24576.38676,-2.361959044,0,0,-2.361959044,-49642.95326,0.025655273,-8935.731586,0,0,-8935.731586,5050881.872,-37579.71561,0,0,-37579.71561,35789.10584,0.08658654638,5770.993316,2294.612099,0,69090.21588,185295.2092,0.05109604887,367704.2003,27092.35312,0,-24282.71589,2809.637223
429,05796995-fb86-4202-bf4e-a1e48de43d15,Residential,R1190_1_1,30,36.5367375,602.24792,602.24792,87314.48839,87231.55,0,15716.60791,3936.73,8887.73,28541.05945,0,573657.7829,66097.06771,13482.38,11244.42,90823.86431,-35675.98,0.04908148001,-6421.6764,0,0,-6421.6764,106282.945,0,-27006.71686,0,0,-27006.71686,-7738.621385,0,-1392.951849,-1372.255536,0,-2765.207386,880.787583,-199964.3769,-5858.136389,0,0,-5858.136389,-23.22275036,0,-3.744668495,-202.4124791,0,-206.1571476,1607.61645,-29495.44322,-2.834714051,0,0,-2.834714051,-116534.9725,0.060224792,-20976.29505,0,0,-20976.29505,11856755.93,-88216.9742,0,0,-88216.9742,84013.58484,0.203258673,13547.19056,5386.515917,0,162186.6928,434973.5602,0.11994606004,863171.8313,63598.28372,0,-57002.76563,6595.518096
430,05948187-f3df-4d0e-8b70-3be3b3feaac2,Residential,R430_1_1,17,26.2514625,353.12671,353.12671,55175.99082,55116.4,0,9931.678348,2411.17,5036.38,17379.22446,0,351354.2602,41768.22505,7905.36,6371.84,56045.42417,-22058.87,0.03758333194,-3970.5966,0,0,-3970.5966,66410.5613,0,-16698.56459,0,0,-16698.56459,-4537.523201,0,-816.7541762,-804.6189397,0,-1621.373116,516.4478134,-117248.6615,-3434.905063,0,0,-3434.905063,-16.68542957,0,-2.690525517,-145.4323502,0,-148.1228757,1155.06435,-21192.3279,-2.036727817,0,0,-2.036727817,-68330.01839,0.035312671,-12299.40331,0,0,-12299.40331,6952182.103,-51725.82392,0,0,-51725.82392,49261.17605,0.1191802646,7943.364637,3158.371463,0,95097.80164,255045.7663,0.07033010186,506118.8571,37290.71027,0,-33423.4431,3867.267165
431,05948f05-9f11-4730-907a-8041db008dad,Residential,R1081_1_1,16,203.8085175,325.83813,325.83813,50881.68533,50419.04,0,9158.70336,6051.38,4740.12,19950.20088,0,881803.6457,38517.4358,7294.46,5997.02,51808.91817,-22278.16,0.03610197391,-4010.0688,0,0,-4010.0688,61939.85959,0,-16864.56712,0,0,-16864.56712,-4186.876928,0,-753.637847,-742.4403854,0,-1496.078232,476.5382651,-108188.0343,-3169.465834,0,0,-3169.465834,-129.5406937,0,-20.88843686,-1129.093348,0,-1149.981785,8967.57477,-164530.9069,-15.81254671,0,0,-15.81254671,-63049.67816,0.032583813,-11348.94207,0,0,-11348.94207,6414938.184,-47728.60636,0,0,-47728.60636,45454.41914,0.1099703689,7329.525086,2914.301927,0,87748.92687,235336.5894,0.06489520114,467007.4998,34408.99529,0,-30840.579,3568.416281
